1	15.9	9.83	0	26.73
13.5	23.95	11.57	1000	49.02
7.23	15.55	2.63	1000	25.41
2.35	9.28	0	0	11.63
20.72	14.7	0	399	35.42
1.73	18.37	0.3	0	20.4
4.15	12.62	4.15	0	20.92
23	12.62	0	500	35.62
20.72	14.87	0.5	400	36.09
0.5	2.12	0	0	2.62
4.18	9.66	0	450	13.84
47.08	19.8	34.1	2100	71.25
10.58	16	0	350	26.58
0.88	18.6	3.55	160	23.03
0	7.53	1.63	300	9.16
10.04	15.92	7.2	1500	33.16
3.5	21	0	0	24.5
0	24.5	0	1050	24.5
10.5	21	3.5	840	35
14	17.5	0	980	42
21	22.4	7	1050	50.4
10.4	24.5	14	1190	48.9
14	10.5	7	840	31.5
7	21	0	0	28
0	18.9833	0	0	26.5333
0	18.35	4.4	0	32.4833
23.1333	20.45	7.3667	665	50.9500
0	38.25	0	1680	38.25
6.3667	32.9	5.0833	350	44.35
10.05	32.7833	0	2219	42.8
1.3167	32.6667	0	0	33.9833
0	19.6833	2.3833	665	22.0667
4.1667	21.4	0	1400	25.5667
11.4500	26.4	0	150	37.8833
17	13.4400	2.3200	400	33.0400
15.9200	25.3	5	1600	45.9800
