"Time (s) Run #15","Voltage, Ch A (V) Run #15"
0.000,0.002
1.000,0.002
2.000,0.002
3.000,2.721
4.000,4.761
5.000,4.782
6.000,4.785
7.000,4.786
8.000,4.786
9.000,4.787
10.000,4.787
11.000,4.787
12.000,4.787
13.000,4.787
14.000,4.788
15.000,4.630
16.000,3.748
17.000,2.962
18.000,2.347
19.000,1.864
20.000,1.483
21.000,1.182
22.000,0.944
23.000,0.755
24.000,0.606
25.000,0.488
26.000,0.394
27.000,0.318
28.000,0.258
29.000,0.210
30.000,0.172
31.000,0.142
32.000,0.117
33.000,0.098
34.000,0.082
35.000,0.069
36.000,0.059
