"Time (s) Run #19","Voltage, Ch A (V) Run #19"
0.000,0.002
1.000,0.002
2.000,0.002
3.000,0.002
4.000,0.002
5.000,0.002
6.000,1.117
7.000,4.841
8.000,4.961
9.000,4.965
10.000,4.967
11.000,4.968
12.000,4.968
13.000,4.969
14.000,4.969
15.000,4.956
16.000,4.853
17.000,4.738
18.000,4.627
19.000,4.520
20.000,4.416
21.000,4.316
22.000,4.218
23.000,4.122
24.000,4.029
25.000,3.938
26.000,3.850
27.000,3.764
28.000,3.680
29.000,3.598
30.000,3.518
31.000,3.440
32.000,3.364
33.000,3.290
34.000,3.217
35.000,3.146
36.000,3.076
37.000,3.008
38.000,2.943
39.000,2.878
40.000,2.815
41.000,2.754
42.000,2.693
43.000,2.634
44.000,2.577
45.000,2.521
46.000,2.466
47.000,2.412
48.000,2.360
49.000,2.309
50.000,2.259
51.000,2.210
52.000,2.162
53.000,2.115
54.000,2.070
55.000,2.025
56.000,1.981
57.000,1.939
58.000,1.897
59.000,1.857
60.000,1.817
61.000,1.778
62.000,1.740
63.000,1.702
64.000,1.666
65.000,1.631
66.000,1.596
67.000,1.562
68.000,1.528
69.000,1.496
70.000,1.464
71.000,1.432
72.000,1.402
73.000,1.372
74.000,1.343
75.000,1.315
76.000,1.287
77.000,1.260
78.000,1.233
79.000,1.207
80.000,1.181
81.000,1.156
82.000,1.132
83.000,1.108
84.000,1.084
85.000,1.062
86.000,1.039
87.000,1.018
88.000,0.996
89.000,0.975
90.000,0.955
91.000,0.935
92.000,0.915
93.000,0.896
94.000,0.877
95.000,0.859
96.000,0.841
97.000,0.823
98.000,0.806
99.000,0.789
100.000,0.773
101.000,0.757
102.000,0.741
103.000,0.726
104.000,0.711
105.000,0.696
106.000,0.682
107.000,0.668
108.000,0.654
109.000,0.640
110.000,0.627
111.000,0.614
112.000,0.603
113.000,0.591
114.000,0.579
115.000,0.567
116.000,0.555
117.000,0.544
118.000,0.533
119.000,0.522
120.000,0.511
121.000,0.501
122.000,0.491
123.000,0.481
124.000,0.471
125.000,0.462
126.000,0.452
127.000,0.443
128.000,0.434
129.000,0.426
130.000,0.417
131.000,0.409
132.000,0.401
133.000,0.393
134.000,0.385
135.000,0.377
136.000,0.370
137.000,0.362
138.000,0.355
139.000,0.348
140.000,0.341
141.000,0.334
142.000,0.328
143.000,0.321
144.000,0.315
145.000,0.309
146.000,0.303
147.000,0.297
148.000,0.291
149.000,0.286
150.000,0.280
151.000,0.275
152.000,0.269
153.000,0.264
154.000,0.259
155.000,0.254
156.000,0.249
157.000,0.244
158.000,0.239
159.000,0.234
160.000,0.230
161.000,0.226
162.000,0.221
163.000,0.217
164.000,0.213
165.000,0.209
166.000,0.205
167.000,0.201
168.000,0.197
169.000,0.194
170.000,0.190
171.000,0.187
172.000,0.183
173.000,0.180
174.000,0.176
175.000,0.173
176.000,0.170
177.000,0.167
178.000,0.164
179.000,0.161
180.000,0.158
181.000,0.155
182.000,0.152
183.000,0.149
184.000,0.147
185.000,0.144
186.000,0.142
187.000,0.139
188.000,0.137
189.000,0.134
190.000,0.132
191.000,0.130
192.000,0.127
193.000,0.125
194.000,0.123
195.000,0.121
196.000,0.119
197.000,0.117
198.000,0.115
199.000,0.113
200.000,0.111
201.000,0.109
202.000,0.107
203.000,0.105
204.000,0.103
205.000,0.102
206.000,0.100
207.000,0.098
208.000,0.097
209.000,0.095
210.000,0.094
211.000,0.092
212.000,0.091
213.000,0.089
214.000,0.088
215.000,0.086
216.000,0.085
217.000,0.084
218.000,0.082
219.000,0.081
220.000,0.080
221.000,0.079
222.000,0.077
223.000,0.076
224.000,0.075
225.000,0.074
226.000,0.073
227.000,0.072
228.000,0.071
229.000,0.070
230.000,0.068
231.000,0.067
232.000,0.066
233.000,0.066
234.000,0.065
235.000,0.064
236.000,0.063
237.000,0.062
238.000,0.061
239.000,0.060
240.000,0.059
241.000,0.058
242.000,0.058
243.000,0.057
244.000,0.056
245.000,0.055
246.000,0.055
247.000,0.054
248.000,0.053
249.000,0.052
250.000,0.052
251.000,0.051
252.000,0.050
253.000,0.050
254.000,0.049
