Resonance in LRC circuit,"Data from Narayanan Menon, Physics 182"
Frequency (Hz),Dimensionless Impedance
590,0.09178744
1090,0.321643287
1290,0.665694165
1390,0.829
1590,0.528056112
1790,0.327
2190,0.187751004
503,0.090452261
803,0.168505517
1103,0.402691511
1403,0.832829809
1703,0.451807229
2003,0.275376884
2103,0.247213779
1230,0.526
1285,0.65
1340,0.755
1395,0.812
1450,0.75
1505,0.673
1560,0.584
500,0.073926074
700,0.121242485
1000,0.24975025
1400,0.859956236
1600,0.505
1900,0.263
2100,0.205823293
